bing_date,bing_month,bing_year,bing_isoweek,bing_isodow,bing_isoyear,bing_channel_group,bing_product_group,bing_sub_channel,bing_advertiser,bing_cost,bing_impressions,bing_clicks
2017-01-01,12,2016,52,6,2016,Branded Search,Mattress,Search,Tempur-Pedic,3863.200000000001,25268,883
2017-01-01,12,2016,52,6,2016,Branded Search,Other,Search,Tempur-Pedic,88.21000000000001,186,13
2017-01-01,12,2016,52,6,2016,Branded Search,Pillow,Search,Tempur-Pedic,256.34000000000003,2879,91
2017-01-01,12,2016,52,6,2016,Competitor Search,Mattress,Search,Tempur-Pedic,86.81,907,16
2017-01-01,12,2016,52,6,2016,Non-Branded Search,Other,Search,Tempur-Pedic,809.8199999999999,8135,292
2017-01-01,12,2016,52,6,2016,Shopping,Mattress,Search,Tempur-Pedic,39.25,1394,11
2017-01-01,12,2016,52,6,2016,Shopping,Other,Search,Tempur-Pedic,47.92,844,17
2017-01-01,12,2016,52,6,2016,Shopping,Pillow,Search,Tempur-Pedic,42.89,1169,9
2017-01-02,1,2017,52,7,2016,Branded Search,Mattress,Search,Tempur-Pedic,2918.88,21020,699
2017-01-02,1,2017,52,7,2016,Branded Search,Other,Search,Tempur-Pedic,88.03999999999999,332,19
2017-01-02,1,2017,52,7,2016,Branded Search,Pillow,Search,Tempur-Pedic,260.14,2286,96
2017-01-02,1,2017,52,7,2016,Competitor Search,Mattress,Search,Tempur-Pedic,213.15,1797,41
2017-01-02,1,2017,52,7,2016,Non-Branded Search,Other,Search,Tempur-Pedic,793.2500000000001,7968,276
2017-01-02,1,2017,52,7,2016,Shopping,Mattress,Search,Tempur-Pedic,38.73,1585,11
2017-01-02,1,2017,52,7,2016,Shopping,Other,Search,Tempur-Pedic,46.99,537,15
2017-01-02,1,2017,52,7,2016,Shopping,Pillow,Search,Tempur-Pedic,38.57,1479,10
2017-01-03,1,2017,1,1,2017,Branded Search,Mattress,Search,Tempur-Pedic,3875.980000000001,32220,1004
2017-01-03,1,2017,1,1,2017,Branded Search,Other,Search,Tempur-Pedic,92.9,185,11
2017-01-03,1,2017,1,1,2017,Branded Search,Pillow,Search,Tempur-Pedic,273.41,3127,100
2017-01-03,1,2017,1,1,2017,Competitor Search,Mattress,Search,Tempur-Pedic,152.62,1232,28
2017-01-03,1,2017,1,1,2017,Non-Branded Search,Other,Search,Tempur-Pedic,839.0799999999999,8684,296
2017-01-03,1,2017,1,1,2017,Shopping,Mattress,Search,Tempur-Pedic,85.58,2956,23
