fb_date,fb_month,fb_year,fb_isoweek,fb_isodow,fb_isoyear,fb_network,fb_channel_group,fb_sub_channel,fb_advertiser,fb_cost,fb_impressions,fb_clicks,fb_video_views,fb_post_comments,fb_post_likes,fb_post_reactions
2017-06-22,6,2017,25,3,2017,Instagram,Acquisition,,Tempur-Pedic,601.26,25163,84,0.0,1.0,0.0,26.0
2017-08-14,8,2017,32,7,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,3407.5199999999995,169658,1157,0.0,5.0,13.0,127.0
2017-08-06,8,2017,31,6,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,1201.32,83166,1163,0.0,4.0,0.0,118.0
2017-03-02,3,2017,9,3,2017,Facebook,Acquisition,,Tempur-Pedic,16138.309999999998,656551,8176,0.0,95.0,145.0,445.0
2017-07-10,7,2017,27,7,2017,Instagram,Remarketing,,Tempur-Pedic,624.3499999999999,13236,83,0.0,0.0,0.0,29.0
2017-06-21,6,2017,25,2,2017,Facebook,Remarketing,,Tempur-Pedic,2057.83,53632,1182,0.0,7.0,14.0,55.0
2017-08-30,8,2017,35,2,2017,Facebook,Acquisition,,Tempur-Pedic,57570.99000000003,3055559,11751,0.0,79.0,251.0,878.0
2017-09-05,9,2017,36,1,2017,Facebook,Acquisition,,Tempur-Pedic,59359.75999999995,6025951,10907,0.0,41.0,173.0,776.0
2017-09-13,9,2017,37,2,2017,Facebook,Acquisition,,Tempur-Pedic,19516.730000000003,1116083,4166,0.0,34.0,69.0,255.0
2017-06-14,6,2017,24,2,2017,Instagram,Acquisition,,Tempur-Pedic,785.31,36464,159,0.0,0.0,0.0,32.0
2018-02-14,2,2018,7,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,24171.39,1039555,6238,261.0,33.0,74.0,425.0
2017-08-22,8,2017,34,1,2017,Facebook,Acquisition,,Tempur-Pedic,42755.27,1975961,9049,0.0,64.0,133.0,368.0
2017-08-31,8,2017,35,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,472.52,6239,81,0.0,1.0,1.0,8.0
2017-08-25,8,2017,34,4,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,3671.9399999999996,49444,687,0.0,1.0,3.0,36.0
2017-08-11,8,2017,32,4,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,3292.33,47762,532,0.0,2.0,1.0,33.0
