goog_date,goog_month,goog_year,goog_isoweek,goog_isodow,goog_isoyear,goog_channel_group,goog_product_group,goog_sub_channel,goog_advertiser,goog_cost,goog_impressions,goog_clicks,goog_video_views,goog_video_completes
2017-01-01,12,2016,52,6,2016,Branded Search,Mattress,SN,Tempur-Pedic,10092.73999999999,24595,3031,0,0.0
2017-01-01,12,2016,52,6,2016,Branded Search,Other,SN,Tempur-Pedic,772.48,3348,248,0,0.0
2017-01-01,12,2016,52,6,2016,Competitor,Other,SN,Tempur-Pedic,107.32,1543,9,0,0.0
2017-01-01,12,2016,52,6,2016,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,33.87,7747,27,0,0.0
2017-01-01,12,2016,52,6,2016,Mattress Firm,Mattress,SN,Tempur-Pedic,197.76000000000002,2296,30,0,0.0
2017-01-01,12,2016,52,6,2016,Non-Branded Search,Mattress,SN,Tempur-Pedic,1500.39,7671,161,0,0.0
2017-01-01,12,2016,52,6,2016,Non-Branded Search,Other,SN,Tempur-Pedic,2205.2400000000007,22808,722,0,0.0
2017-01-01,12,2016,52,6,2016,Non-Branded Search,Pillow,SN,Tempur-Pedic,308.36,2975,79,0,0.0
2017-01-01,12,2016,52,6,2016,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3104.4200000000005,14641,381,0,0.0
2017-01-01,12,2016,52,6,2016,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,476.4300000000001,4640,132,0,0.0
2017-01-01,12,2016,52,6,2016,Remarketing,Mattress,DN,Tempur-Pedic,705.7699999999998,269980,313,0,0.0
2017-01-01,12,2016,52,6,2016,Remarketing,Other,DN,Tempur-Pedic,136.15000000000003,39918,94,0,0.0
2017-01-01,12,2016,52,6,2016,Remarketing,Pillow,DN,Tempur-Pedic,253.36999999999998,133068,160,0,0.0
2017-01-01,12,2016,52,6,2016,Shopping,Mattress,SN,Tempur-Pedic,354.94,12320,105,0,0.0
2017-01-01,12,2016,52,6,2016,Shopping,Other,SN,Tempur-Pedic,250.33,8097,104,0,0.0
2017-01-01,12,2016,52,6,2016,Shopping,Pillow,SN,Tempur-Pedic,381.76,14186,148,0,0.0
2017-01-02,1,2017,52,7,2016,Branded Search,Mattress,SN,Tempur-Pedic,10086.279999999995,24524,2942,0,0.0
2017-01-02,1,2017,52,7,2016,Branded Search,Other,SN,Tempur-Pedic,1143.4900000000007,4397,345,0,0.0
2017-01-02,1,2017,52,7,2016,Competitor,Other,SN,Tempur-Pedic,93.32,1913,5,0,0.0
2017-01-02,1,2017,52,7,2016,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,25.91,7810,21,0,0.0
2017-01-02,1,2017,52,7,2016,Mattress Firm,Mattress,SN,Tempur-Pedic,208.27,1391,31,0,0.0
2017-01-02,1,2017,52,7,2016,Non-Branded Search,Mattress,SN,Tempur-Pedic,1490.9499999999996,5598,147,0,0.0
2017-01-02,1,2017,52,7,2016,Non-Branded Search,Other,SN,Tempur-Pedic,2207.5299999999997,22287,720,0,0.0
2017-01-02,1,2017,52,7,2016,Non-Branded Search,Pillow,SN,Tempur-Pedic,319.50999999999993,2709,74,0,0.0
2017-01-02,1,2017,52,7,2016,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3109.6300000000006,14232,390,0,0.0
2017-01-02,1,2017,52,7,2016,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,468.15999999999997,5811,139,0,0.0
2017-01-02,1,2017,52,7,2016,Remarketing,Mattress,DN,Tempur-Pedic,689.7799999999999,284423,304,0,0.0
2017-01-02,1,2017,52,7,2016,Remarketing,Other,DN,Tempur-Pedic,131.83000000000004,52047,103,0,0.0
