hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2017-02-26,8,2,1,2017,2017,purple,purple,manufacturer,disruptor,473461.0
2017-02-26,8,2,1,2017,2017,casper,casper,manufacturer,disruptor,309855.0
2017-02-26,8,2,1,2017,2017,saatva,saatva,manufacturer,disruptor,171031.0
2017-02-26,8,2,1,2017,2017,tuft & needle,tuft & needle,manufacturer,disruptor,149457.0
2017-02-26,8,2,1,2017,2017,leesa,leesa,manufacturer,disruptor,135982.0
2017-02-26,8,2,1,2017,2017,loom & leaf,saatva,manufacturer,disruptor,62689.0
2017-02-26,8,2,1,2017,2017,ghost bed,ghost bed,manufacturer,disruptor,145605.0
2017-02-26,8,2,1,2017,2017,Helix,Helix,manufacturer,disruptor,38871.0
2017-02-26,8,2,1,2017,2017,Zen Haven,Saatva,manufacturer,disruptor,18299.0
2017-02-26,8,2,1,2017,2017,cocoon,tsi,manufacturer,disruptor,43168.0
2017-02-26,8,2,1,2017,2017,Bed In a Box,Bed In a Box,manufacturer,disruptor,29697.0
2017-02-26,8,2,1,2017,2017,Sleep Eve,Sleep Eve,manufacturer,disruptor,2038.0
2017-02-26,8,2,1,2017,2017,Eve Mattress,Sleep Eve,manufacturer,disruptor,2038.0
2017-02-26,8,2,1,2017,2017,Sapira Sleep,Leesa,manufacturer,disruptor,12214.0
2017-02-26,8,2,1,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,1321.0
2017-02-26,8,2,1,2017,2017,eight bed,eight bed,manufacturer,disruptor,17070.0
2017-02-26,8,2,1,2017,2017,Sleep Eve,Sleep Eve,manufacturer,disruptor,0.0
2017-02-26,8,2,1,2017,2017,Eve Mattress,Sleep Eve,manufacturer,disruptor,0.0
2017-03-05,9,3,1,2017,2017,purple,purple,manufacturer,disruptor,426834.0
2017-03-05,9,3,1,2017,2017,casper,casper,manufacturer,disruptor,296251.0
2017-03-05,9,3,1,2017,2017,saatva,saatva,manufacturer,disruptor,157393.0
2017-03-05,9,3,1,2017,2017,tuft & needle,tuft & needle,manufacturer,disruptor,155203.0
2017-03-05,9,3,1,2017,2017,leesa,leesa,manufacturer,disruptor,93018.0
2017-03-05,9,3,1,2017,2017,loom & leaf,saatva,manufacturer,disruptor,56463.0
2017-03-05,9,3,1,2017,2017,ghost bed,ghost bed,manufacturer,disruptor,125704.0
2017-03-05,9,3,1,2017,2017,Helix,Helix,manufacturer,disruptor,34820.0
2017-03-05,9,3,1,2017,2017,Zen Haven,Saatva,manufacturer,disruptor,15163.0
2017-03-05,9,3,1,2017,2017,cocoon,tsi,manufacturer,disruptor,25059.0
2017-03-05,9,3,1,2017,2017,Bed In a Box,Bed In a Box,manufacturer,disruptor,20068.0
2017-03-05,9,3,1,2017,2017,Sleep Eve,Sleep Eve,manufacturer,disruptor,2426.0
