ic_date,ic_month,ic_year,ic_isoweek,ic_isodow,ic_isoyear,ic_call_grouping,ic_calls,ic_first_contacts,ic_second_contacts
2016-06-08,6,2016,23,3,2016,,5,0,0
2016-06-09,6,2016,23,4,2016,,8,0,0
2016-07-01,7,2016,26,5,2016,,1,0,0
2016-07-12,7,2016,28,2,2016,,1,0,0
2016-07-13,7,2016,28,3,2016,,13,0,0
2016-07-14,7,2016,28,4,2016,,6,0,0
2016-07-15,7,2016,28,5,2016,,13,2,2
2016-07-18,7,2016,29,1,2016,,7,0,1
2016-07-18,7,2016,29,1,2016,DTCSales_Website,1,0,0
2016-07-19,7,2016,29,2,2016,,6,1,0
2016-07-19,7,2016,29,2,2016,DTCSales,45,9,1
2016-07-19,7,2016,29,2,2016,DTCSales_DirectMail,7,2,0
2016-07-19,7,2016,29,2,2016,DTCSales_Email,1,1,0
2016-07-19,7,2016,29,2,2016,DTCSales_PaidSearch,5,4,0
2016-07-19,7,2016,29,2,2016,DTCSales_Product,3,1,0
2016-07-19,7,2016,29,2,2016,DTCSales_Radio,1,1,0
2016-07-19,7,2016,29,2,2016,DTCSales_Website,137,76,0
2016-07-20,7,2016,29,3,2016,,1,0,0
2016-07-20,7,2016,29,3,2016,DTCSales,22,6,0
2016-07-20,7,2016,29,3,2016,DTCSales_DirectMail,8,4,0
2016-07-20,7,2016,29,3,2016,DTCSales_Email,1,0,0
2016-07-20,7,2016,29,3,2016,DTCSales_PaidSearch,6,5,0
2016-07-20,7,2016,29,3,2016,DTCSales_Product,2,2,0
2016-07-20,7,2016,29,3,2016,DTCSales_Website,83,51,0
2016-07-21,7,2016,29,4,2016,,1,1,0
2016-07-21,7,2016,29,4,2016,DTCSales,36,3,0
2016-07-21,7,2016,29,4,2016,DTCSales_DirectMail,5,1,1
2016-07-21,7,2016,29,4,2016,DTCSales_Email,2,1,0
2016-07-21,7,2016,29,4,2016,DTCSales_NA,1,0,0
2016-07-21,7,2016,29,4,2016,DTCSales_PaidSearch,10,7,0
2016-07-21,7,2016,29,4,2016,DTCSales_Product,1,1,0
2016-07-21,7,2016,29,4,2016,DTCSales_Social,1,1,0
2016-07-21,7,2016,29,4,2016,DTCSales_Website,98,55,0
2016-07-22,7,2016,29,5,2016,DTCSales,43,10,0
2016-07-22,7,2016,29,5,2016,DTCSales_DirectMail,14,6,1
2016-07-22,7,2016,29,5,2016,DTCSales_Email,6,5,0
2016-07-22,7,2016,29,5,2016,DTCSales_PaidSearch,12,8,1
2016-07-22,7,2016,29,5,2016,DTCSales_Product,2,1,0
2016-07-22,7,2016,29,5,2016,DTCSales_Website,112,68,2
2016-07-23,7,2016,29,6,2016,DTCSales,6,1,0
2016-07-23,7,2016,29,6,2016,DTCSales_DirectMail,5,3,0
2016-07-23,7,2016,29,6,2016,DTCSales_Email,1,1,0
2016-07-23,7,2016,29,6,2016,DTCSales_PaidSearch,4,2,0
2016-07-23,7,2016,29,6,2016,DTCSales_Radio,1,1,0
2016-07-23,7,2016,29,6,2016,DTCSales_Website,56,34,0
2016-07-24,7,2016,29,7,2016,DTCSales,1,1,0
2016-07-24,7,2016,29,7,2016,DTCSales_DirectMail,3,1,0
2016-07-24,7,2016,29,7,2016,DTCSales_Email,1,0,0
2016-07-24,7,2016,29,7,2016,DTCSales_PaidSearch,3,2,0
2016-07-24,7,2016,29,7,2016,DTCSales_Website,46,27,0
2016-07-25,7,2016,30,1,2016,,1,0,0
2016-07-25,7,2016,30,1,2016,DTCSales,37,4,5
2016-07-25,7,2016,30,1,2016,DTCSales_DirectMail,6,6,0
2016-07-25,7,2016,30,1,2016,DTCSales_Email,2,1,0
2016-07-25,7,2016,30,1,2016,DTCSales_PaidSearch,12,3,1
2016-07-25,7,2016,30,1,2016,DTCSales_Product,3,3,0
2016-07-25,7,2016,30,1,2016,DTCSales_Website,113,60,9
2016-07-26,7,2016,30,2,2016,DTCSales,40,2,1
2016-07-26,7,2016,30,2,2016,DTCSales_DirectMail,6,2,0
2016-07-26,7,2016,30,2,2016,DTCSales_NA,1,1,0
2016-07-26,7,2016,30,2,2016,DTCSales_PaidSearch,10,6,0
2016-07-26,7,2016,30,2,2016,DTCSales_Website,108,64,1
2016-07-27,7,2016,30,3,2016,,1,1,0
2016-07-27,7,2016,30,3,2016,DTCSales,35,2,3
2016-07-27,7,2016,30,3,2016,DTCSales_DirectMail,9,2,3
2016-07-27,7,2016,30,3,2016,DTCSales_Email,2,2,0
2016-07-27,7,2016,30,3,2016,DTCSales_NA,1,1,0
2016-07-27,7,2016,30,3,2016,DTCSales_PaidSearch,11,5,0
2016-07-27,7,2016,30,3,2016,DTCSales_Website,86,49,3
2016-07-28,7,2016,30,4,2016,,1,0,0
2016-07-28,7,2016,30,4,2016,DTCSales,41,6,2
2016-07-28,7,2016,30,4,2016,DTCSales_DirectMail,4,3,0
2016-07-28,7,2016,30,4,2016,DTCSales_NA,1,0,0
2016-07-28,7,2016,30,4,2016,DTCSales_PaidSearch,12,7,1
2016-07-28,7,2016,30,4,2016,DTCSales_Product,2,0,0
2016-07-28,7,2016,30,4,2016,DTCSales_Website,97,55,1
2016-07-29,7,2016,30,5,2016,DTCSales,22,5,1
2016-07-29,7,2016,30,5,2016,DTCSales_DirectMail,3,2,0
2016-07-29,7,2016,30,5,2016,DTCSales_Email,1,1,0
2016-07-29,7,2016,30,5,2016,DTCSales_PaidSearch,12,6,0
2016-07-29,7,2016,30,5,2016,DTCSales_Website,96,48,6
2016-07-30,7,2016,30,6,2016,DTCSales,5,1,0
2016-07-30,7,2016,30,6,2016,DTCSales_DirectMail,8,3,4
2016-07-30,7,2016,30,6,2016,DTCSales_PaidSearch,5,4,1
2016-07-30,7,2016,30,6,2016,DTCSales_Website,64,47,2
2016-07-31,7,2016,30,7,2016,,1,1,0
2016-07-31,7,2016,30,7,2016,DTCSales,2,1,0
2016-07-31,7,2016,30,7,2016,DTCSales_DirectMail,2,0,0
2016-07-31,7,2016,30,7,2016,DTCSales_PaidSearch,4,3,0
2016-07-31,7,2016,30,7,2016,DTCSales_Website,57,30,2
2016-08-01,8,2016,31,1,2016,,3,1,1
2016-08-01,8,2016,31,1,2016,DTCSales,61,7,4
2016-08-01,8,2016,31,1,2016,DTCSales_DirectMail,5,4,0
2016-08-01,8,2016,31,1,2016,DTCSales_Email,2,1,0
2016-08-01,8,2016,31,1,2016,DTCSales_PaidSearch,13,8,0
2016-08-01,8,2016,31,1,2016,DTCSales_Product,1,1,0
2016-08-01,8,2016,31,1,2016,DTCSales_Website,117,67,7
2016-08-02,8,2016,31,2,2016,,1,0,0
2016-08-02,8,2016,31,2,2016,DTCSales,27,7,0
2016-08-02,8,2016,31,2,2016,DTCSales_DirectMail,7,2,2
2016-08-02,8,2016,31,2,2016,DTCSales_Email,1,0,0
2016-08-02,8,2016,31,2,2016,DTCSales_PaidSearch,17,10,0
2016-08-02,8,2016,31,2,2016,DTCSales_Social,1,0,1
2016-08-02,8,2016,31,2,2016,DTCSales_Website,107,53,6
2016-08-03,8,2016,31,3,2016,DTCSales,29,5,1
2016-08-03,8,2016,31,3,2016,DTCSales_DirectMail,7,2,2
2016-08-03,8,2016,31,3,2016,DTCSales_PaidSearch,8,6,1
2016-08-03,8,2016,31,3,2016,DTCSales_Product,3,2,0
2016-08-03,8,2016,31,3,2016,DTCSales_Website,86,45,3
2016-08-04,8,2016,31,4,2016,,62,56,0
2016-08-04,8,2016,31,4,2016,DTCSales,33,6,2
2016-08-04,8,2016,31,4,2016,DTCSales_DirectMail,6,4,1
2016-08-04,8,2016,31,4,2016,DTCSales_Email,1,0,1
2016-08-04,8,2016,31,4,2016,DTCSales_PaidSearch,8,7,0
2016-08-04,8,2016,31,4,2016,DTCSales_Website,121,56,3
2016-08-05,8,2016,31,5,2016,,35,27,0
2016-08-05,8,2016,31,5,2016,DTCSales,26,1,3
2016-08-05,8,2016,31,5,2016,DTCSales_DirectMail,4,0,0
2016-08-05,8,2016,31,5,2016,DTCSales_Email,2,2,0
2016-08-05,8,2016,31,5,2016,DTCSales_PaidSearch,12,7,0
2016-08-05,8,2016,31,5,2016,DTCSales_Product,1,1,0
2016-08-05,8,2016,31,5,2016,DTCSales_Website,114,67,5
2016-08-06,8,2016,31,5,2016,,1,1,0
2016-08-06,8,2016,31,6,2016,,35,31,0
2016-08-06,8,2016,31,6,2016,DTCSales,8,3,1
2016-08-06,8,2016,31,6,2016,DTCSales_DirectMail,1,1,0
2016-08-06,8,2016,31,6,2016,DTCSales_Email,1,1,0
2016-08-06,8,2016,31,6,2016,DTCSales_PaidSearch,6,6,0
2016-08-06,8,2016,31,6,2016,DTCSales_Website,49,29,3
2016-08-07,8,2016,31,7,2016,,20,16,0
2016-08-07,8,2016,31,7,2016,DTCSales,4,1,0
2016-08-07,8,2016,31,7,2016,DTCSales_NA,1,1,0
2016-08-07,8,2016,31,7,2016,DTCSales_PaidSearch,5,3,0
2016-08-07,8,2016,31,7,2016,DTCSales_Website,60,31,1
2016-08-08,8,2016,32,1,2016,,33,18,3
2016-08-08,8,2016,32,1,2016,DTCSales,44,4,2
2016-08-08,8,2016,32,1,2016,DTCSales_DirectMail,5,4,1
2016-08-08,8,2016,32,1,2016,DTCSales_Email,2,2,0
2016-08-08,8,2016,32,1,2016,DTCSales_NA,2,2,0
2016-08-08,8,2016,32,1,2016,DTCSales_PaidSearch,13,7,0
2016-08-08,8,2016,32,1,2016,DTCSales_Product,1,0,0
2016-08-08,8,2016,32,1,2016,DTCSales_Website,148,72,10
2016-08-09,8,2016,32,2,2016,,37,33,0
2016-08-09,8,2016,32,2,2016,DTCSales,33,7,3
2016-08-09,8,2016,32,2,2016,DTCSales_DirectMail,7,3,3
2016-08-09,8,2016,32,2,2016,DTCSales_Email,1,1,0
2016-08-09,8,2016,32,2,2016,DTCSales_PaidSearch,10,8,0
2016-08-09,8,2016,32,2,2016,DTCSales_Product,1,0,0
2016-08-09,8,2016,32,2,2016,DTCSales_Website,122,70,5
2016-08-10,8,2016,32,3,2016,,30,20,1
2016-08-10,8,2016,32,3,2016,DTCSales,33,4,2
2016-08-10,8,2016,32,3,2016,DTCSales_DirectMail,10,3,1
2016-08-10,8,2016,32,3,2016,DTCSales_Email,2,1,0
2016-08-10,8,2016,32,3,2016,DTCSales_PaidSearch,11,10,0
2016-08-10,8,2016,32,3,2016,DTCSales_Product,1,0,0
2016-08-10,8,2016,32,3,2016,DTCSales_Social,1,1,0
2016-08-10,8,2016,32,3,2016,DTCSales_Website,102,54,5
2016-08-11,8,2016,32,4,2016,,22,16,0
2016-08-11,8,2016,32,4,2016,DTCSales,35,4,2
2016-08-11,8,2016,32,4,2016,DTCSales_DirectMail,5,2,0
2016-08-11,8,2016,32,4,2016,DTCSales_Email,7,3,0
2016-08-11,8,2016,32,4,2016,DTCSales_PaidSearch,9,8,0
2016-08-11,8,2016,32,4,2016,DTCSales_Product,1,1,0
2016-08-11,8,2016,32,4,2016,DTCSales_Social,1,1,0
2016-08-11,8,2016,32,4,2016,DTCSales_Website,90,58,4
2016-08-12,8,2016,32,5,2016,,25,20,1
2016-08-12,8,2016,32,5,2016,DTCSales,20,2,1
2016-08-12,8,2016,32,5,2016,DTCSales_DirectMail,3,1,1
2016-08-12,8,2016,32,5,2016,DTCSales_Email,1,1,0
2016-08-12,8,2016,32,5,2016,DTCSales_PaidSearch,16,10,0
2016-08-12,8,2016,32,5,2016,DTCSales_Product,2,2,0
2016-08-12,8,2016,32,5,2016,DTCSales_Social,2,0,0
2016-08-12,8,2016,32,5,2016,DTCSales_Website,92,47,12
2016-08-13,8,2016,32,5,2016,,1,1,0
2016-08-13,8,2016,32,6,2016,,27,20,1
2016-08-13,8,2016,32,6,2016,DTCSales,9,4,0
2016-08-13,8,2016,32,6,2016,DTCSales_DirectMail,7,4,1
2016-08-13,8,2016,32,6,2016,DTCSales_PaidSearch,4,3,0
2016-08-13,8,2016,32,6,2016,DTCSales_Website,65,38,3
2016-08-14,8,2016,32,6,2016,,1,0,0
2016-08-14,8,2016,32,7,2016,,30,21,1
2016-08-14,8,2016,32,7,2016,DTCSales,1,0,0
2016-08-14,8,2016,32,7,2016,DTCSales_DirectMail,2,1,0
2016-08-14,8,2016,32,7,2016,DTCSales_PaidSearch,3,3,0
2016-08-14,8,2016,32,7,2016,DTCSales_Product,1,1,0
2016-08-14,8,2016,32,7,2016,DTCSales_Website,75,39,6
2016-08-15,8,2016,33,1,2016,,37,28,2
2016-08-15,8,2016,33,1,2016,DTCSales,41,7,3
2016-08-15,8,2016,33,1,2016,DTCSales_DirectMail,13,5,1
2016-08-15,8,2016,33,1,2016,DTCSales_NA,1,1,0
2016-08-15,8,2016,33,1,2016,DTCSales_PaidSearch,15,7,3
2016-08-15,8,2016,33,1,2016,DTCSales_Product,2,1,0
2016-08-15,8,2016,33,1,2016,DTCSales_Website,127,71,11
2016-08-16,8,2016,33,1,2016,,1,1,0
2016-08-16,8,2016,33,2,2016,,46,33,0
2016-08-16,8,2016,33,2,2016,DTCSales,26,2,1
2016-08-16,8,2016,33,2,2016,DTCSales_DirectMail,9,7,0
2016-08-16,8,2016,33,2,2016,DTCSales_Email,1,1,0
2016-08-16,8,2016,33,2,2016,DTCSales_NA,1,0,0
2016-08-16,8,2016,33,2,2016,DTCSales_PaidSearch,7,5,0
2016-08-16,8,2016,33,2,2016,DTCSales_Product,2,2,0
2016-08-16,8,2016,33,2,2016,DTCSales_Social,1,1,0
2016-08-16,8,2016,33,2,2016,DTCSales_Website,130,74,4
2016-08-17,8,2016,33,3,2016,,25,17,1
2016-08-17,8,2016,33,3,2016,DTCSales,35,4,2
2016-08-17,8,2016,33,3,2016,DTCSales_DirectMail,19,12,1
2016-08-17,8,2016,33,3,2016,DTCSales_Email,1,0,0
2016-08-17,8,2016,33,3,2016,DTCSales_PaidSearch,12,9,0
2016-08-17,8,2016,33,3,2016,DTCSales_Product,1,1,0
2016-08-17,8,2016,33,3,2016,DTCSales_Website,107,59,7
2016-08-18,8,2016,33,4,2016,,33,25,1
2016-08-18,8,2016,33,4,2016,DTCSales,37,4,3
2016-08-18,8,2016,33,4,2016,DTCSales_DirectMail,11,8,0
2016-08-18,8,2016,33,4,2016,DTCSales_Email,1,0,1
2016-08-18,8,2016,33,4,2016,DTCSales_PaidSearch,7,6,0
2016-08-18,8,2016,33,4,2016,DTCSales_Website,108,55,8
2016-08-19,8,2016,33,5,2016,,30,15,4
2016-08-19,8,2016,33,5,2016,DTCSales,31,5,5
2016-08-19,8,2016,33,5,2016,DTCSales_DirectMail,13,8,0
2016-08-19,8,2016,33,5,2016,DTCSales_Email,1,1,0
2016-08-19,8,2016,33,5,2016,DTCSales_NA,1,0,0
2016-08-19,8,2016,33,5,2016,DTCSales_PaidSearch,8,6,0
2016-08-19,8,2016,33,5,2016,DTCSales_Pillows,1,1,0
2016-08-19,8,2016,33,5,2016,DTCSales_Social,1,0,0
2016-08-19,8,2016,33,5,2016,DTCSales_Website,118,52,7
2016-08-20,8,2016,33,6,2016,,30,23,0
2016-08-20,8,2016,33,6,2016,DTCSales,15,3,4
2016-08-20,8,2016,33,6,2016,DTCSales_DirectMail,6,1,0
2016-08-20,8,2016,33,6,2016,DTCSales_PaidSearch,7,5,0
2016-08-20,8,2016,33,6,2016,DTCSales_Website,85,49,2
2016-08-21,8,2016,33,7,2016,,37,25,1
2016-08-21,8,2016,33,7,2016,DTCSales,7,3,1
2016-08-21,8,2016,33,7,2016,DTCSales_DirectMail,3,3,0
2016-08-21,8,2016,33,7,2016,DTCSales_Email,1,1,0
2016-08-21,8,2016,33,7,2016,DTCSales_NA,1,0,0
2016-08-21,8,2016,33,7,2016,DTCSales_PaidSearch,5,4,0
2016-08-21,8,2016,33,7,2016,DTCSales_Website,72,39,4
2016-08-22,8,2016,33,7,2016,,1,1,0
2016-08-22,8,2016,34,1,2016,,22,13,3
2016-08-22,8,2016,34,1,2016,DTCSales,49,4,5
2016-08-22,8,2016,34,1,2016,DTCSales_DirectMail,8,3,3
2016-08-22,8,2016,34,1,2016,DTCSales_NA,1,1,0
2016-08-22,8,2016,34,1,2016,DTCSales_PaidSearch,7,4,1
2016-08-22,8,2016,34,1,2016,DTCSales_Product,1,1,0
2016-08-22,8,2016,34,1,2016,DTCSales_Website,175,98,11
2016-08-23,8,2016,34,2,2016,,19,14,0
2016-08-23,8,2016,34,2,2016,DTCSales,44,7,3
2016-08-23,8,2016,34,2,2016,DTCSales_DirectMail,10,5,0
2016-08-23,8,2016,34,2,2016,DTCSales_Email,6,4,2
2016-08-23,8,2016,34,2,2016,DTCSales_PaidSearch,9,7,0
